Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3yNVfRQlUPViUh8O2V9SQn,"22282KfMxDo2PMjnBc82I4","Just a Friend","Biz's Baddest Beats: The Best of Biz Markie","Biz Markie",1994-08-07,238266,61,spotify:user:seankmchenry,2020-04-07T22:05:29Z,"east coast hip hop,electro,gangster rap,golden age hip hop,hardcore hip hop,hip hop,hip house,old school hip hop,rap",0.862,0.663,0,-9.004,1,0.21,0.12,0,0.318,0.837,85.308,4
0UNTBB02C1aB55Fu4H63qd,"3s2wTjWxK8NOX09dmsvVOh,5UdPkKWd8YNR5xGcmqH9QJ","One Call Away","Jackpot","Chingy,Jason Weaver",2003-01-01,276800,63,spotify:user:seankmchenry,2020-04-07T22:05:29Z,"crunk,dance pop,dirty south rap,gangster rap,hip hop,hip pop,pop rap,rap,southern hip hop,urban contemporary,movie tunes",0.765,0.821,4,-5.926,0,0.183,0.0918,0,0.217,0.962,162.519,4
4iAYo83eWlktjw97oebIal,"5NtJpNZgRqBvRCq6OE08ZU","I Got A Man","The Skills Dat Pay Da Bills","Positive K",1992-01-01,232773,49,spotify:user:seankmchenry,2020-04-07T22:05:29Z,"bronx hip hop,east coast hip hop",0.812,0.753,7,-13.252,1,0.118,0.0774,0,0.341,0.787,103.754,4
4IYKjN1DrYzxKXt0umJqsG,"3z3g65U7mmyyBmmDfsQK9x,2FT75iYuWmycqYrXbVD9cn","I Got 5 On It","Operation Stackola","Luniz,Michael Marshall",1995-07-04,253533,76,spotify:user:seankmchenry,2020-04-07T22:05:29Z,"g funk,gangster rap,oakland hip hop,west coast rap",0.6,0.706,10,-7.899,0,0.361,0.209,0,0.125,0.58,173.926,4
04KTF78FFg8sOHC1BADqbY,"2gBjLmx6zQnFGQJCAQpRgw","Hot In Herre","Nellyville","Nelly",2002-06-25,228240,77,spotify:user:seankmchenry,2020-04-07T22:05:29Z,"dance pop,hip hop,pop rap,southern hip hop,st louis rap,urban contemporary",0.956,0.745,11,-4.753,0,0.12,0.206,0,0.0615,0.912,107.075,4
1BuZAIO8WZpavWVbbq3Lci,"7iZtZyCzp3LItcw1wtPI3D,1zNqQNIdeOUZHb8zbZRFMX,7EEiVZvj6RCEtVX2F2pyxu,5gCRApTajqwbnHHPbr2Fpi","Powerglide (feat. Juicy J) - From SR3MM","SR3MM","Rae Sremmurd,Swae Lee,Slim Jxmmi,Juicy J",2018-05-04,332300,67,spotify:user:seankmchenry,2020-04-07T22:05:29Z,"hip hop,melodic rap,mississippi hip hop,pop rap,rap,southern hip hop,trap,viral rap,crunk,dirty south rap,gangster rap,memphis hip hop",0.713,0.831,1,-4.75,0,0.15,0.0168,0,0.118,0.584,173.948,4
2dhBezqzOyOVboouHxKddO,"3I8ExTKigDuneCoO1D7aYS","Indian Summer","City Lights Vol. 1.5","Nicolay",2005-09-13,205746,24,spotify:user:seankmchenry,2020-04-07T22:05:29Z,"",0.425,0.653,7,-8.808,0,0.0471,0.252,0.0947,0.101,0.842,174.095,4
7r8KGFyID2uExN5FupG4AT,"07VmOvmuBp9G0gb8BTrpn0,4Yj490bi1KL0QpDnVOtHyr","Flossin' (feat. Big Moe)","Who Is Mike Jones?","Mike Jones,Big Moe",2005-04-19,191160,55,spotify:user:seankmchenry,2020-04-07T22:05:29Z,"dirty south rap,gangster rap,hip hop,houston rap,pop rap,rap,southern hip hop,trap,chopped and screwed,deep southern trap",0.92,0.616,7,-4.522,1,0.209,0.0473,0,0.173,0.62,97.749,4
59B5rSOgC5v8EQdmcNDe88,"7FHTOKIGhiMqe5Qs0bzr0m","In The Wind feat Bo-Rocc","The Greatest Hits - Vol. One","Foesum",2004-01-01,288306,20,spotify:user:seankmchenry,2020-04-07T22:05:29Z,"g funk,popping,west coast rap",0.787,0.672,11,-7.808,0,0.0994,0.115,0,0.271,0.753,87.574,4
63BokRfXSQhEU6Qi2dSJpZ,"3f5fB1YUbkUnW7cf7I0R48","Mind Playing Tricks on Me","We Can't Be Stopped","Geto Boys",1991-07-02,308733,67,spotify:user:seankmchenry,2020-04-07T22:05:29Z,"conscious hip hop,dirty south rap,g funk,gangster rap,golden age hip hop,hardcore hip hop,hip hop,old school hip hop,rap,southern hip hop",0.886,0.512,10,-11.825,0,0.237,0.207,0,0.0991,0.454,93.997,4
2PuxA1RnYXkIjkbzKawGum,"6X8WdFjrNhXATMDSs26aCc","Life Under the Scope","Pilot Talk: Trilogy","Curren$y",2017-06-09,184346,30,spotify:user:seankmchenry,2020-04-07T22:05:29Z,"alternative hip hop,dirty south rap,gangster rap,hip hop,new orleans rap,pop rap,rap,southern hip hop,underground hip hop",0.714,0.698,2,-7.842,1,0.101,0.199,0.00000967,0.0866,0.319,94.005,4
1B0VZU5x6XltU5qXpSSlwD,"7jDblfQQLFAZCKXFfoGZ9Q,1grN0519h2zYqpRtYbDZAl","On Sight","On Sight","Jay Worthy,Larry June",2016-12-19,223477,25,spotify:user:seankmchenry,2020-04-07T22:05:29Z,"boom bap,cali rap",0.865,0.972,9,-3.166,1,0.23,0.361,0,0.316,0.683,96.013,4
4TGHOWSNAwUXn5onDQr0P1,"1W9qOBYRTfP7HcizWN43G1,1G9G7WwrXka3Z1r7aIDjI7","Street Talkin'","The Art Of Storytelling","Slick Rick,Outkast",1999-01-01,221200,63,spotify:user:seankmchenry,2020-04-07T22:05:29Z,"alternative hip hop,bronx hip hop,east coast hip hop,gangster rap,golden age hip hop,hardcore hip hop,hip hop,old school hip hop,rap,atl hip hop,dirty south rap,old school atlanta hip hop,pop rap,southern hip hop",0.934,0.495,5,-7.483,0,0.346,0.0544,0,0.0934,0.836,101.781,4
6iZr15wtZx8cCyUS8AtYzj,"0b2XeWDPeBiLeskT6RFqMb","Summer Breeze","The Essential DJ Quik","DJ Quik",2015-07-17,272560,21,spotify:user:seankmchenry,2020-04-07T22:05:29Z,"g funk,gangster rap,hardcore hip hop,hip hop,popping,rap,southern hip hop,west coast rap",0.728,0.845,10,-5.15,0,0.162,0.0248,0,0.618,0.701,92.026,4
0r2Bul2NuCViraT2zX1l5j,"3ciRvbBIVz9fBoPbtSYq4x,44PA0rCQXikgOWbfY7Fq7m","Get Low","Kings Of Crunk","Lil Jon & The East Side Boyz,Ying Yang Twins",2002-10-29,334066,75,spotify:user:seankmchenry,2020-04-07T22:05:29Z,"atl hip hop,atlanta bass,crunk,dirty south rap,gangster rap,hip hop,old school atlanta hip hop,pop rap,rap,southern hip hop,trap,dance pop,hip pop",0.521,0.625,1,-7.47,1,0.067,0.0301,0,0.121,0.136,101.019,4
3odqT6FRAUAFCeOmNFmLrb,"5hQCwevTf03u1rECrRMeop","White Lines","White Lines","Grandmaster Flash & The Furious Five",1984,269053,48,spotify:user:seankmchenry,2020-04-07T22:05:29Z,"bronx hip hop,electro,old school hip hop",0.853,0.703,0,-8.799,1,0.0586,0.0438,0.00044,0.0646,0.829,115.397,4
3iXzVzAdUBMlSimllmhQSr,"0rG0AZBscc8S8q1ahIsasI","Follow Me Now","400 Degreez","JUVENILE",1998-01-01,235450,14,spotify:user:seankmchenry,2020-04-07T22:05:29Z,"bounce,crunk,dirty south rap,gangster rap,hip hop,new orleans rap,pop rap,rap,southern hip hop,trap",0.739,0.844,4,-5.689,0,0.08,0.0624,0,0.0387,0.881,159.981,4
3F644VZh6mKJYdH3gSlrjb,"1W9qOBYRTfP7HcizWN43G1","Teenage Love","The Great Adventures Of Slick Rick","Slick Rick",1988-11-03,293666,30,spotify:user:seankmchenry,2020-04-07T22:05:29Z,"alternative hip hop,bronx hip hop,east coast hip hop,gangster rap,golden age hip hop,hardcore hip hop,hip hop,old school hip hop,rap",0.804,0.369,7,-16.182,1,0.271,0.0362,0,0.0645,0.652,83.693,4
0VCMH2s1q05Cx9jKwPkSoM,"4dBOV77d0Fy9KcTZkieXcu","Friends","Escape (Expanded Edition)","Whodini",2017-02-10,278533,30,spotify:user:seankmchenry,2020-04-07T22:05:29Z,"east coast hip hop,electro,funk,gangster rap,hip hop,hip house,old school hip hop,quiet storm,rap",0.74,0.726,6,-8.067,1,0.265,0.029,0.00000453,0.0776,0.553,192.822,4
3ia3dJETSOllPsv3LJkE35,"1ZwdS5xdxEREPySFridCfh,3GMoVpWJy4smKuxFuFTwXC,6DPYiyq5kWVQS4RGwxzPC7","California Love - Original Version","Greatest Hits","2Pac,Roger,Dr. Dre",1998-01-01,284906,80,spotify:user:seankmchenry,2020-04-07T22:05:29Z,"g funk,gangster rap,hip hop,rap,west coast rap,funk,post-disco",0.763,0.85,7,-3.052,1,0.0417,0.0304,0.00000121,0.371,0.761,91.519,4
3lwMGZ9M5Gq4usaZZLV4NK,"5MAp6rMiUJjRLXMWtArXRS","Ice Cream Paint Job","Dorrough Music","Dorrough Music",2009-08-04,237320,0,spotify:user:seankmchenry,2020-04-07T22:05:29Z,"dfw rap,dirty south rap,gangster rap,houston rap,pop rap,southern hip hop,trap",0.849,0.59,0,-8.367,1,0.428,0.000545,0,0.343,0.656,180.026,4
13Mzo1l88eZPohxdl5T1qv,"33ay6frFAk5xRMXayOWsil","Round & Round","Conversation","Twinz",1995-01-01,221066,48,spotify:user:seankmchenry,2020-04-07T22:05:29Z,"g funk,gangster rap,west coast rap",0.632,0.478,11,-7.921,0,0.321,0.0111,0.0000636,0.34,0.532,94.644,4
7gdlPtohrpNwmjazhWkxpw,"65d2Cw70rLuVwEZwQpHtFW,7jDblfQQLFAZCKXFfoGZ9Q","Burnout","Burnout","LNDN DRGS,Jay Worthy",2015-07-17,591400,33,spotify:user:seankmchenry,2020-04-07T22:05:29Z,"boom bap",0.462,0.585,1,-7.351,1,0.283,0.379,0,0.0924,0.589,82.445,4
7mly6jCskkD21tUjHQ7Lpz,"3MacYkeeG7VGz5SjZd7zU0","Gonna Getcha","Livin' in a Crime Wave","Havoc & Prodeje",1993,225893,27,spotify:user:seankmchenry,2020-04-07T22:05:29Z,"g funk,west coast rap",0.704,0.788,2,-6.803,1,0.0769,0.00478,0.248,0.168,0.678,180.328,4
1NHwvBmrUje4L1dxfWnXCH,"1YfEcTuGvBQ8xSD1f53UnK","Put Your Hands Where My Eyes Could See","When Disaster Strikes...","Busta Rhymes",1997,194293,64,spotify:user:seankmchenry,2020-04-07T22:05:29Z,"east coast hip hop,hardcore hip hop,hip hop,hip pop,pop rap,rap",0.906,0.623,1,-6.711,0,0.303,0.00864,0.00000419,0.0753,0.715,99.498,4
0PV1TFUMTBrDETzW6KQulB,"5Rzqmz1zAszembFHGZQuAt","93 'Til Infinity","93 'til Infinity","Souls Of Mischief",1993-02-13,286440,72,spotify:user:seankmchenry,2020-04-07T22:05:29Z,"alternative hip hop,hardcore hip hop,hip hop,jazz rap",0.59,0.672,1,-11.792,1,0.412,0.125,0.00000104,0.147,0.688,206.247,4
1Epb6Kfe3GTgKrrWs1Y4Wy,"44PA0rCQXikgOWbfY7Fq7m,07VmOvmuBp9G0gb8BTrpn0,3EtuDyQhDQYISGg1DU5qZj","Badd","U.S.A. (United State of Atlanta)","Ying Yang Twins,Mike Jones,Mr. Collipark",2005-06-28,225186,61,spotify:user:seankmchenry,2020-04-07T22:05:29Z,"atl hip hop,crunk,dance pop,dirty south rap,gangster rap,hip hop,hip pop,old school atlanta hip hop,pop rap,rap,southern hip hop,trap,houston rap,atlanta bass",0.585,0.697,1,-6.126,0,0.357,0.0339,0,0.255,0.402,133.177,5
563vSy3HB5NHxel1VGQCW6,"4jWGfUCFeTu5e0wprRhHXR","Still Fly","Hood Rich","Big Tymers",2002-01-01,335613,67,spotify:user:seankmchenry,2020-04-07T22:05:29Z,"crunk,dirty south rap,gangster rap,hip hop,new orleans rap,pop rap,rap,southern hip hop,trap",0.675,0.607,11,-3.538,1,0.162,0.0302,0.00000897,0.339,0.56,177.928,4
2aRjuScpka878tUWOsLYpQ,"1mG23iQeR29Ojhq89D5gbh","A Nightmare on My Street","He's The DJ, I'm The Rapper","DJ Jazzy Jeff & The Fresh Prince",1988-03-29,294826,36,spotify:user:seankmchenry,2020-04-07T22:05:29Z,"gangster rap,golden age hip hop,hip hop,old school hip hop,philly rap,rap",0.722,0.486,2,-17.081,1,0.128,0.0332,0,0.111,0.625,170.626,4
0dNiLb9FEHrRK7VFDJctiR,"6futYSDVulYR2PktBjTB5W","Ain't No Half-Steppin'","Long Live The Kane","Big Daddy Kane",1988-01-01,319906,52,spotify:user:seankmchenry,2020-04-07T22:05:29Z,"east coast hip hop,electro,gangster rap,golden age hip hop,hardcore hip hop,hip hop,old school hip hop,rap",0.836,0.728,10,-12.058,0,0.234,0.00569,0.000819,0.0649,0.599,100.842,4
55Kp9pSeHWYFyj79S8TvxS,"3jksrX4oBklxR78ft8gv3j","Dat Bitch","Definition of Real","Plies",2008-06-10,213026,32,spotify:user:seankmchenry,2020-04-07T22:05:29Z,"dirty south rap,gangster rap,hip hop,miami hip hop,pop rap,r&b,rap,southern hip hop,trap,urban contemporary",0.737,0.534,5,-7.024,0,0.232,0.101,0,0.117,0.752,180.93,4
2qOm7ukLyHUXWyR4ZWLwxA,"3Mcii5XWf6E0lrY3Uky4cA","It Was A Good Day","The Predator","Ice Cube",1992-11-17,260000,83,spotify:user:seankmchenry,2020-04-07T22:05:29Z,"conscious hip hop,g funk,gangster rap,hip hop,rap,west coast rap",0.798,0.744,7,-5.328,0,0.136,0.33,0.000106,0.292,0.794,82.356,4
5z7mYFfhw6N6f23VwrokJD,"1G9G7WwrXka3Z1r7aIDjI7,7Dnu2NmddNymEI2LMZVH5v","The Way You Move (feat. Sleepy Brown)","Speakerboxxx/The Love Below","Outkast,Sleepy Brown",2003,234000,70,spotify:user:seankmchenry,2020-04-07T22:05:29Z,"atl hip hop,dirty south rap,hip hop,old school atlanta hip hop,pop rap,rap,southern hip hop,neo soul",0.871,0.597,5,-4.932,0,0.0464,0.126,0.000113,0.0638,0.635,125.999,4
74kHlIr01X459gqsSdNilW,"1ZwdS5xdxEREPySFridCfh,7mFqeqDcctDWHGKY2AIAMl,6VH75hkpvvNBk8qKVPUUwl","I Get Around","Greatest Hits","2Pac,Shock G,Money B",1998-01-01,258640,60,spotify:user:seankmchenry,2020-04-07T22:05:29Z,"g funk,gangster rap,hip hop,rap,west coast rap",0.84,0.717,10,-4.368,0,0.105,0.12,0.0000129,0.298,0.675,96.224,4
7I6APxpjmnf03FmuFByKQb,"3jksrX4oBklxR78ft8gv3j","Who Hotter Than Me","Definition of Real","Plies",2008-06-10,207466,32,spotify:user:seankmchenry,2020-04-07T22:05:29Z,"dirty south rap,gangster rap,hip hop,miami hip hop,pop rap,r&b,rap,southern hip hop,trap,urban contemporary",0.634,0.585,1,-5.445,0,0.04,0.03,0,0.183,0.178,80.493,4
4UCkX8nrBlpxjrrEqtb46a,"7zliF6Q946WznVk3ZMYhZX","Apache","8th Wonder","The Sugarhill Gang",1981,373293,49,spotify:user:seankmchenry,2020-04-07T22:05:29Z,"east coast hip hop,electro,funk,hip hop,hip house,new jersey rap,old school hip hop,rap",0.827,0.928,7,-7.266,1,0.133,0.332,0,0.0576,0.261,115.023,4
0l3GEbH3CviUytD6iX4wzg,"3s2wTjWxK8NOX09dmsvVOh","Right Thurr","Jackpot","Chingy",2003-01-01,250746,70,spotify:user:seankmchenry,2020-04-07T22:05:29Z,"crunk,dance pop,dirty south rap,gangster rap,hip hop,hip pop,pop rap,rap,southern hip hop,urban contemporary",0.866,0.749,2,-3.977,1,0.253,0.15,0,0.0614,0.891,92.074,4
6GBaF12fJlC2E8kzypVbhp,"5spEJXLwD1sKUdC2bnOHPg","Tha Crossroads","E. Eternal 1999","Bone Thugs-N-Harmony",1995,223546,0,spotify:user:seankmchenry,2020-04-07T22:05:29Z,"gangster rap,hip hop,ohio hip hop,pop rap,rap,southern hip hop",0.679,0.509,4,-7.31,1,0.0617,0.0856,0,0.438,0.534,144.29,4
1sQBPGypjSgEgJZvD8u8ty,"5Vuvs6Py2JRU7WiFDVsI7J","Roll Some Mo","Painted","Lucky Daye",2019-05-24,292884,59,spotify:user:seankmchenry,2020-04-07T22:05:29Z,"alternative r&b,indie r&b,pop,r&b,urban contemporary",0.389,0.507,11,-9.026,1,0.0621,0.259,0.0441,0.142,0.364,74.718,4
0DugmMK82sG3H5PTLyRZuZ,"65d2Cw70rLuVwEZwQpHtFW,7jDblfQQLFAZCKXFfoGZ9Q,65f3BGjlkqlPLPu6sJ5BIX,46OEO6grOGgHYOaAJCc0Gw","Let Me Be the 1 (feat. Earl Swavey)","P On the DRGS","LNDN DRGS,Jay Worthy,P On The Boards,Earl Swavey",2017-01-18,159277,22,spotify:user:seankmchenry,2020-04-07T22:05:29Z,"boom bap",0.697,0.87,6,-5.721,1,0.311,0.452,0,0.333,0.814,91.052,4
1JKJZLqLUh0vlemaD3IfLe,"4dBOV77d0Fy9KcTZkieXcu","Freaks Come Out at Night","Escape (Expanded Edition)","Whodini",2017-02-10,284613,33,spotify:user:seankmchenry,2020-04-07T22:05:29Z,"east coast hip hop,electro,funk,gangster rap,hip hop,hip house,old school hip hop,quiet storm,rap",0.862,0.676,1,-7.427,1,0.165,0.0441,0.000107,0.0284,0.536,101.108,4
6SDIhynRs7dizVskZn2HWm,"6ZhjJOJXXwnPS8PrXdmjLw,5gCRApTajqwbnHHPbr2Fpi,2ledyuziz6YjLK5Dw483Oc","Like A Pimp (feat. Juicy J & DJ Paul)","Dirty Money","UGK,Juicy J,DJ Paul",2001-11-11,294306,28,spotify:user:seankmchenry,2020-04-07T22:05:29Z,"dirty south rap,gangster rap,hip hop,houston rap,rap,southern hip hop,trap,crunk,memphis hip hop,pop rap,bounce,phonk,underground hip hop",0.909,0.653,6,-4.762,1,0.31,0.0131,0,0.0975,0.848,87.942,4
323Tzd2yjV4pifrVAajafb,"3Y365ZqTf6fJ4ZcRnLKPGt","Hood Nigga","Welcome to the Zoo","Gorilla Zoe",2007-09-24,200933,62,spotify:user:seankmchenry,2020-04-07T22:05:29Z,"atl hip hop,crunk,dirty south rap,futuristic swag,gangster rap,pop rap,rap,southern hip hop,trap",0.875,0.732,1,-5.135,1,0.0635,0.0198,0,0.11,0.159,87.142,4
