Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3ZZq9396zv8pcn5GYVhxUi,"0f3EsoviYnRKTkmayI3cux","Down Under","Business As Usual","Men At Work",1981-11-09,222320,74,spotify:user:seankmchenry,2020-04-07T22:06:50Z,"album rock,australian rock,classic rock,mellow gold,new romantic,new wave,new wave pop,rock,soft rock",0.739,0.459,11,-14.42,0,0.0294,0.129,0.0194,0.0474,0.892,107.115,4
3qxBN4nWvSDibXmEq5of9E,"0WgyCbru4tXnMsbTmX4mFw","Imaginary Lover","Champagne Jam","Atlanta Rhythm Section",1978-01,307466,45,spotify:user:seankmchenry,2020-04-07T22:06:50Z,"album rock,art rock,blues rock,classic rock,country rock,folk rock,hard rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock,southern rock,yacht rock",0.598,0.374,9,-14.085,0,0.0259,0.383,0.548,0.128,0.413,109.499,4
1n6JtI7q22MrWz7KPigjwk,"3jrgftS3TYbNxcPt5itKhz","Lonely Runner","Robbie Dupree","Robbie Dupree",1980,275626,22,spotify:user:seankmchenry,2020-04-07T22:06:50Z,"mellow gold,soft rock,yacht rock",0.692,0.293,0,-15.932,0,0.0283,0.44,0.000957,0.177,0.671,110.605,4
0ldR2jGvLPFEbxzEOEzxE3,"7fucM325lXZs0cfgV9dpS3,2oIMdIn2XWOJTzjipBnRDf","Jam On Dallas Road (feat. Dr. Mike Roma)","Country City Country","Eddie C,Dr. Mike Roma",2013-03-18,340453,13,spotify:user:seankmchenry,2020-04-07T22:06:50Z,"canadian electronic,canadian house,deep soul house",0.848,0.663,11,-6.977,0,0.0753,0.514,0.863,0.167,0.864,97.994,4
3GVhCuS4BRxCTvVj4Cmc8w,"0J2Ej2rMQyqaUX3G6MUISw","How Much I Feel","Life Beyond L.A.","Ambrosia",1978,283400,62,spotify:user:seankmchenry,2020-04-07T22:06:50Z,"adult standards,album rock,art rock,classic rock,country rock,folk rock,mellow gold,singer-songwriter,soft rock,symphonic rock,yacht rock",0.667,0.513,4,-7.96,1,0.026,0.305,0,0.0851,0.518,95.306,4
2Xb6wJYGi0QXwURw5WWvI5,"7tjbDPvrdvDshcpEMXKRVb","Right Down the Line","City to City","Gerry Rafferty",1978,267773,75,spotify:user:seankmchenry,2020-04-07T22:06:50Z,"album rock,art rock,classic rock,classic uk pop,country rock,folk rock,mellow gold,singer-songwriter,soft rock",0.783,0.322,0,-15.091,1,0.0343,0.213,0.00243,0.114,0.77,128.226,4
6cr6UDpkjEaMQ80OjWqEBQ,"0WwSkZ7LtFUFjGjMZBMt6T","Sultans of Swing","Dire Straits","Dire Straits",1978-10-07,350400,68,spotify:user:seankmchenry,2020-04-07T22:06:50Z,"album rock,classic rock,mellow gold,rock,soft rock",0.73,0.868,5,-7.325,1,0.0288,0.0632,0.0661,0.318,0.923,148.217,4
2XvGUsoEFpDsmfxlNsL5lL,"0WwSkZ7LtFUFjGjMZBMt6T","In the Gallery","Dire Straits","Dire Straits",1978-10-07,376706,37,spotify:user:seankmchenry,2020-04-07T22:06:50Z,"album rock,classic rock,mellow gold,rock,soft rock",0.644,0.617,8,-11.126,1,0.0563,0.119,0.14,0.114,0.713,163.968,4
5dXED6MP1v1qghkaniirb1,"35U9lQaRWSQISxQAB94Meo","You Can Do Magic","View From The Ground","America",1982-01-01,237466,63,spotify:user:seankmchenry,2020-04-07T22:06:50Z,"album rock,art rock,classic rock,country rock,folk rock,mellow gold,rock,soft rock",0.859,0.568,4,-12.516,0,0.0387,0.29,0,0.31,0.936,129.72,4
6gIX8nlmGBSJWkFvVDvfd1,"614GyAJSc7xbA6oYTvTLsB","Who'll Be the Fool Tonight","Larsen/Feiten Band","Larsen/Feiten Band",1980,252666,33,spotify:user:seankmchenry,2020-04-07T22:06:50Z,"deep soft rock,yacht rock",0.684,0.555,0,-13.502,1,0.0413,0.0629,0.00182,0.565,0.816,83.172,4
