Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
479pGWJ0zoqaMb69QxR3nU,"Pumer","Hausmeister","Hausmeister",2000-09-01,231560,0,seankmchenry,2022-07-08T12:46:06Z,"german electronica","Karaoke Kalk",0.745,0.79,10,-9.08,1,0.0504,0.728,0.895,0.0662,0.887,148.59,4
3nPdV4MKadZqAzpcMFj3yM,"Ket","Hausmeister","Hausmeister",2000-09-01,201373,0,seankmchenry,2022-07-08T12:46:06Z,"german electronica","Karaoke Kalk",0.845,0.55,11,-11.461,0,0.0574,0.565,0.878,0.107,0.863,139.994,4
24ZdPCedzN8mBrrPPB1Jcn,"Vogla","Hausmeister","Hausmeister",2000-09-01,69520,0,seankmchenry,2022-07-08T12:46:06Z,"german electronica","Karaoke Kalk",0.941,0.455,5,-10.372,0,0.0473,0.944,0.927,0.105,0.641,120.488,4
0dURJ4O29Ip4aUdlaGObB2,"Enger","Hausmeister","Hausmeister",2000-09-01,238120,0,seankmchenry,2022-07-08T12:46:06Z,"german electronica","Karaoke Kalk",0.758,0.838,6,-7.954,0,0.217,0.133,0.928,0.101,0.572,176.518,4
6QpOFGBIHg4Pekp4cghoA5,"Kenter","Hausmeister","Hausmeister",2000-09-01,231346,0,seankmchenry,2022-07-08T12:46:06Z,"german electronica","Karaoke Kalk",0.787,0.517,0,-11.362,0,0.0576,0.676,0.681,0.614,0.786,139.139,4
1Ad6QiIf6g95tmKSSODVwC,"Heping","Hausmeister","Hausmeister",2000-09-01,223146,0,seankmchenry,2022-07-08T12:46:06Z,"german electronica","Karaoke Kalk",0.809,0.722,5,-8.292,1,0.0384,0.105,0.886,0.0993,0.746,108.417,4
2xyg3m1r2GjPjT4WkGG9GR,"Nitten","Hausmeister","Hausmeister",2000-09-01,173266,0,seankmchenry,2022-07-08T12:46:06Z,"german electronica","Karaoke Kalk",0.494,0.582,4,-11.673,0,0.0474,0.893,0.893,0.271,0.655,87.244,4
7Gc1jJVR6klVbQ0DwV2iDY,"Rader","Hausmeister","Hausmeister",2000-09-01,253333,0,seankmchenry,2022-07-08T12:46:06Z,"german electronica","Karaoke Kalk",0.714,0.643,8,-11.545,1,0.0262,0.694,0.951,0.067,0.896,133.403,4
4948LsYGuAkFZ7y0P8SfGb,"Buder","Hausmeister","Hausmeister",2000-09-01,234280,0,seankmchenry,2022-07-08T12:46:06Z,"german electronica","Karaoke Kalk",0.827,0.524,9,-8.748,1,0.0467,0.595,0.831,0.102,0.445,146.564,4
06MR7NoDyaAFcocDEa1txi,"Betten","Hausmeister","Hausmeister",2000-09-01,194400,0,seankmchenry,2022-07-08T12:46:06Z,"german electronica","Karaoke Kalk",0.823,0.4,2,-10.478,1,0.05,0.798,0.942,0.0602,0.963,109.73,4
3o9c68lGjDOy1LGINfrIMt,"Hundi","Hausmeister","Hausmeister",2000-09-01,46773,0,seankmchenry,2022-07-08T12:46:06Z,"german electronica","Karaoke Kalk",0.811,0.303,8,-13.671,0,0.169,0.509,0.904,0.109,0.43,120.136,4
6AEa1kZHNQmUziQx3K7VY9,"Tarna","Hausmeister","Hausmeister",2000-09-01,175986,0,seankmchenry,2022-07-08T12:46:06Z,"german electronica","Karaoke Kalk",0.69,0.557,0,-8.967,0,0.0428,0.269,0.968,0.106,0.851,140.323,4
5vywb19NOVh1jye178sdKM,"Nixen","Hausmeister","Hausmeister",2000-09-01,187986,0,seankmchenry,2022-07-08T12:46:06Z,"german electronica","Karaoke Kalk",0.911,0.576,3,-11.21,0,0.26,0.802,0.917,0.0922,0.514,120.456,4
2TUZSMqAQXH9y4ndH0akfn,"Pferden","Hausmeister","Hausmeister",2000-09-01,71106,0,seankmchenry,2022-07-08T12:46:06Z,"german electronica","Karaoke Kalk",0.773,0.688,2,-12.678,1,0.0302,0.763,0.912,0.0885,0.666,88.569,4
