Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4b8zbUSAs0NxxBUAzzr1kS,"0fSzoVDpnYSWxnuiILlJLt","Sphere Of Existence","Sphere of Existence","Antoine Kogut",2018-09-24,260946,8,spotify:user:seankmchenry,2022-05-24T14:22:42Z,"",0.696,0.472,5,-12.453,1,0.0417,0.0684,0.632,0.156,0.523,100.001,4
0ZUoiaTLtS1Emrs53pN3NS,"2Pn8cFHDvZqjr56UjvR62L","Funk on the Line","Cassette for You","BOY DUDE",2017-11-03,209995,10,spotify:user:seankmchenry,2022-05-24T14:22:42Z,"bedroom pop",0.866,0.537,2,-10.722,0,0.0606,0.287,0.685,0.387,0.728,121.361,4
1UugrF8Mq74QIaU9q36dAh,"2Pn8cFHDvZqjr56UjvR62L","Cosmic Lines","Cassette for You","BOY DUDE",2017-11-03,247827,26,spotify:user:seankmchenry,2022-05-24T14:22:42Z,"bedroom pop",0.641,0.383,5,-11.733,0,0.0612,0.494,0.371,0.223,0.527,166.411,4
11n99yaboa25ZsXruSTZTw,"2Pn8cFHDvZqjr56UjvR62L","Rainbow Waterfall","Cassette for You","BOY DUDE",2017-11-03,241980,13,spotify:user:seankmchenry,2022-05-24T14:22:42Z,"bedroom pop",0.774,0.403,11,-12.304,0,0.0552,0.769,0.0723,0.102,0.513,82.041,4
2dwBF2d1qZg3iUYrkcA28E,"3iFMfPvVhkPDaR6uCaBV9q","Original Girl","Baby Hits!","Emmett Kai",2019-02-08,263076,29,spotify:user:seankmchenry,2022-05-24T14:22:42Z,"brooklyn indie,chillwave",0.72,0.457,5,-11.127,1,0.0285,0.035,0.0815,0.142,0.573,104.014,4
3VEdzfUk5q70JDmBH0F0Wa,"3iFMfPvVhkPDaR6uCaBV9q","Juicy","Midnight","Emmett Kai",2017-10-24,202758,44,spotify:user:seankmchenry,2022-05-24T14:22:42Z,"brooklyn indie,chillwave",0.809,0.391,6,-6.727,0,0.0413,0.18,0.00172,0.235,0.688,86.957,4
0LNc3e0x0C61V6Ig8BqTL1,"7bqV6iQWSJDJBeZH5lhoeh","Bedroom Soireé","Cruisin' Around Respectin' Babes","Fantasy Guys",2017-11-27,297424,16,spotify:user:seankmchenry,2022-05-24T14:22:42Z,"indie surf",0.708,0.684,6,-11.335,0,0.0306,0.0394,0.0452,0.175,0.801,119.985,4
2b4EiPC1tBfPEJAq6BzHY1,"7bqV6iQWSJDJBeZH5lhoeh","That Way","Cruisin' Around Respectin' Babes","Fantasy Guys",2017-11-27,188153,9,spotify:user:seankmchenry,2022-05-24T14:22:42Z,"indie surf",0.622,0.474,1,-10.38,0,0.0254,0.433,0,0.308,0.435,112.015,4
5CedezTQskAPjAmEOhl63R,"7bqV6iQWSJDJBeZH5lhoeh","Don't Go, Jason Waterfalls","On Poppy Island","Fantasy Guys",2016-06-23,214202,16,spotify:user:seankmchenry,2022-05-24T14:22:42Z,"indie surf",0.707,0.683,1,-10.171,0,0.055,0.0919,0.00000136,0.0761,0.791,107.018,4
3fkI154fm3kPtd4tdilSKM,"7bqV6iQWSJDJBeZH5lhoeh","Surfin' on a Wave of Juice","On Poppy Island","Fantasy Guys",2016-06-23,256797,25,spotify:user:seankmchenry,2022-05-24T14:22:42Z,"indie surf",0.472,0.728,4,-9.299,0,0.0368,0.0963,0.000421,0.352,0.432,116.994,4
2AeNUq4g90gpV0oYL6TBva,"7bqV6iQWSJDJBeZH5lhoeh","Going on a Chill Walk","On Poppy Island","Fantasy Guys",2016-06-23,216050,15,spotify:user:seankmchenry,2022-05-24T14:22:42Z,"indie surf",0.74,0.581,4,-10.987,0,0.0955,0.213,0.288,0.0645,0.963,116.506,4
3fKOMqJToZH96WgR8zzN7h,"7bqV6iQWSJDJBeZH5lhoeh","Bae Caught Me Vapin'","On Poppy Island","Fantasy Guys",2016-06-23,214248,38,spotify:user:seankmchenry,2022-05-24T14:22:42Z,"indie surf",0.782,0.478,5,-9.731,0,0.0527,0.692,0.00122,0.0626,0.636,140.08,4
3gO8aGVFCpPqJOPOMMAhs0,"0sbXj9EtUUji1KCtkhsdmz","Cruel","Cruel","Germans",2013-05-28,207315,25,spotify:user:seankmchenry,2022-05-24T14:22:42Z,"",0.608,0.761,0,-7.226,1,0.0327,0.144,0.0247,0.105,0.941,84.008,4
0xDdomWadyYS5vF1G0XtA4,"0sbXj9EtUUji1KCtkhsdmz","Wonderhow","Wonderhow","Germans",2017-05-08,188620,15,spotify:user:seankmchenry,2022-05-24T14:22:42Z,"",0.555,0.821,1,-7.239,0,0.0374,0.304,0.64,0.203,0.871,169.93,4
6RG8y3WSNUE3DcIC3eQCXO,"77mJc3M7ZT5oOVM7gNdXim","Blue Lips","Invitation to Her's","Her's",2018-08-24,222062,55,spotify:user:seankmchenry,2022-05-24T14:22:42Z,"indie garage rock,indie pop,liverpool indie",0.359,0.727,2,-7.088,1,0.0345,0.0512,0.81,0.112,0.698,109.853,4
5wv2XK6ms7KBBVDD1cOwlx,"77mJc3M7ZT5oOVM7gNdXim","Cool with You","Songs of Her's","Her's",2017-05-12,375656,63,spotify:user:seankmchenry,2022-05-24T14:22:42Z,"indie garage rock,indie pop,liverpool indie",0.534,0.62,0,-6.775,1,0.0504,0.0124,0.000736,0.296,0.547,106.986,4
1XrSjpNe49IiygZfzb74pk,"77mJc3M7ZT5oOVM7gNdXim","What Once Was","Songs of Her's","Her's",2017-05-12,255067,76,spotify:user:seankmchenry,2022-05-24T14:22:42Z,"indie garage rock,indie pop,liverpool indie",0.526,0.877,3,-4.369,0,0.033,0.172,0.0108,0.223,0.436,145.568,3
3qT1rUsSg9Qf43YMFwX4vm,"7w5cbnOLouZ5bGFvwIF5Ff","Lost in Translation /1","W/ Love","infinite bisous",2017-03-15,200523,46,spotify:user:seankmchenry,2022-05-24T14:22:42Z,"indie garage rock",0.648,0.285,5,-17.935,0,0.0589,0.879,0.546,0.413,0.306,117.473,4
3ze6JPahk3dkxhpWDhguVw,"7w5cbnOLouZ5bGFvwIF5Ff","(Terminally) Lovesick","W/ Love","infinite bisous",2017-03-15,231812,28,spotify:user:seankmchenry,2022-05-24T14:22:42Z,"indie garage rock",0.807,0.227,11,-16.459,1,0.0432,0.861,0.77,0.109,0.195,113.965,4
3n8AnbWYvnpRSoRHGmpBv3,"7w5cbnOLouZ5bGFvwIF5Ff","The Past Tense","W/ Love","infinite bisous",2017-03-15,213958,40,spotify:user:seankmchenry,2022-05-24T14:22:42Z,"indie garage rock",0.657,0.49,10,-12.27,1,0.0393,0.621,0.81,0.106,0.53,79.814,4
