Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
46xnvbs8iwf0B4iAbv0Xmm,"7sbwBqdkynNUDgiWU3TQ5J","Working in a Goldmine","Love","Aztec Camera",1987-11-01,344226,1,spotify:user:seankmchenry,2022-07-01T12:59:00Z,"melancholia,new romantic,new wave,new wave pop,scottish new wave,sophisti-pop,synthpop",0.669,0.574,0,-11.633,1,0.0352,0.416,0.0125,0.0681,0.829,172.24,4
0Zg7glh1QVpkTsV8I5LAdU,"1ViWSwtEL3r2Xcg30KhD7d","Deep Breath","Floating Mountains","Soshi Takeda",2021-10-08,354158,15,spotify:user:seankmchenry,2022-07-01T13:05:28Z,"japanese house",0.661,0.609,5,-11.142,0,0.0475,0.482,0.968,0.185,0.649,100,4
38LUbz74v3nmP8x0efElw2,"0xGtOrmB2hnrNRLG3vhpSo","Last Summer Whisper","Heaven Beach","Anri",1982-11-21,299680,60,spotify:user:seankmchenry,2022-07-01T13:05:08Z,"classic city pop",0.732,0.488,4,-8.65,1,0.0446,0.222,0.000149,0.0383,0.61,78.512,4
3biG71CSJDSaKiM0w38SKc,"1pOpXnXti7QoHJEi7wZnjL","Fatima","Oto No Wa: Selected Sounds of Japan 1988-2018","Kazuya Kotani",2017,288914,11,spotify:user:seankmchenry,2022-07-01T13:05:44Z,"",0.25,0.562,0,-8.123,1,0.0385,0.84,0.858,0.0715,0.24,192.644,4
75KNbKs2i96cKvaIFwQ5q6,"4XQKsoNzUlagD1RkEOcf37","Nothing's Wrong In Paradise","Nothing's Wrong in Paradise","Sunstroke",2021-11-05,314138,9,spotify:user:seankmchenry,2022-07-01T13:05:54Z,"",0.238,0.0864,3,-18.195,1,0.0328,0.977,0.234,0.191,0.0349,132.596,4
1Sp3UWnnGAo926Hp7Co18H,"0n8YpopvAf5AlDTe1QoGW9","Blue Atmosfear","The House Of The Rising Synth","Heinrich Dressel",2013-12-10,411228,0,spotify:user:seankmchenry,2022-07-01T13:04:31Z,"synthesizer",0.692,0.378,2,-15.123,0,0.101,0.000231,0.91,0.133,0.182,179.842,4
3PHwwKvUEydDG6mGKVFncM,"2U74OrAGvGPdV7JahJgtHS","Island Smile","From the Heart","Mackey Feary",1979,304493,3,spotify:user:seankmchenry,2022-07-01T13:04:10Z,"",0.548,0.524,2,-12.921,1,0.0329,0.577,0.943,0.0805,0.259,128.91,4
2V8FnzDA3T6Jrc19HlHy9Z,"1Oi99c5Uoxbg8nJT8WprBw","Angel","Light And Shade","Fra Lippo Lippi",1987-01-01,312133,49,spotify:user:seankmchenry,2022-07-01T13:05:54Z,"opm,pop rock,soft rock",0.751,0.422,0,-14.807,1,0.0305,0.179,0.000294,0.0595,0.715,123.934,4
0t0SbbEF5mmmbss3xHqYgM,"2w1cj9Ljx67GMcdmVuVCRe,5Wipinu4T0a6CaRqQl5TB4","Search for Love","Dance","Night Force,The Tom Cats",1981,372056,6,spotify:user:seankmchenry,2022-07-01T13:06:12Z,"",0.499,0.768,2,-13.21,0,0.0334,0.00544,0.0445,0.0808,0.869,114.073,4
7B2DS5uAjGp3QB1gSz1XmP,"1JV4iC1UhplRE8RFr8Q9n9","Recto Verso","Recto Verso","Paradis",2016-09-23,383933,48,spotify:user:seankmchenry,2022-07-01T13:06:45Z,"electro-pop francais,french indie pop,french indietronica,indie soul,nu disco",0.746,0.668,9,-8.845,0,0.0394,0.0111,0.362,0.119,0.625,126.007,4
