Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1tGiv7C3ce4Phy5M54ULj0,"1ht9oSlPiNywrg22T2sM8d,5xjVXzBg4t5bGBSTLJzvBf","Dub Whip - Groucho Remix","The Sound Of Love International","Derrick Harriott,Groucho",2018-06-15,362560,13,spotify:user:seankmchenry,2022-06-16T14:22:19Z,"dub,jamaican ska,lovers rock,reggae,rocksteady,roots reggae,ska",0.572,0.518,1,-10.786,0,0.0713,0.00754,0.588,0.0685,0.477,99.096,4
5PINeplAWDav0JatnURJte,"36IP1TGpTjrLcct58AAZmI","10.11.20.12 - Original Mix","The Sound Of Love International","Anaalivaihe",2018-06-15,237084,2,spotify:user:seankmchenry,2022-06-16T14:22:19Z,"",0.601,0.741,0,-9.605,1,0.0415,0.107,0.595,0.16,0.897,102.974,4
3PIXc2HGe4bqoQ7g0K1Ldc,"4ksts9wd24Oj0ReBiegoXl,4aAtKORQpQlxRoxAoAIsn9","Highlife - Goren Anderssen Dub Version","The Sound Of Love International","Sonny Okosun,Goren Andersson",2018-06-15,345734,10,spotify:user:seankmchenry,2022-06-16T14:22:19Z,"african reggae,afrobeat,highlife",0.941,0.869,9,-8.266,1,0.187,0.109,0.224,0.188,0.848,117.523,4
5tMxRIZ6UXdupZ0CJLKjMh,"6O343lJv3xJY9zZPgoyReD","King Moses - 33RPM Version","The Sound Of Love International","Joe Ariwa",2018-06-15,369308,7,spotify:user:seankmchenry,2022-06-16T14:22:19Z,"dub reggae,uk dub",0.631,0.713,8,-9.114,1,0.031,0.0000773,0.155,0.0822,0.341,121.507,4
4faxUMA2D9OwUmOlHoiBbV,"3BPcbte3EfCYLwXhwVuLXp","Airplane - Original Mix","The Sound Of Love International","Pilgrims Of The Mind",2018-06-15,422053,3,spotify:user:seankmchenry,2022-06-16T14:22:19Z,"ambient fusion",0.741,0.694,9,-10.163,0,0.272,0.157,0.416,0.201,0.392,125.862,4
6TNleB9HvVzjs7m59TTrG2,"1pALHfzfssLWEH1s5wTCtC","Turkish Bath (Part 1) - Original Mix","The Sound Of Love International","Khan",2018-06-15,433314,2,spotify:user:seankmchenry,2022-06-16T14:22:19Z,"",0.754,0.849,1,-14.43,1,0.0493,0.00498,0.773,0.0757,0.618,122.1,4
1B9amOC16IkcHnlcp7MuHQ,"232F6SxOAYgoRwEl1G2dIb","Parsifal - Ambient Dub","The Sound Of Love International","Code",2018-06-15,375856,6,spotify:user:seankmchenry,2022-06-16T14:22:19Z,"british black metal,technical black metal",0.702,0.656,0,-11.982,1,0.0539,0.0119,0.945,0.0967,0.73,119.839,4
6Z77AQw9kZC1NNpJRRuvp3,"0ESDdrwfAvy5AfTSTksBEH","Free Of Life - Original Mix","The Sound Of Love International","Mi Ami",2018-06-15,631624,1,spotify:user:seankmchenry,2022-06-16T14:22:19Z,"experimental indie rock",0.647,0.822,0,-9.841,1,0.0578,0.0213,0.799,0.11,0.632,116.955,4
5XpMlthy9bBVTPJOioN8Rg,"7qdsk0UXx2jCX7jbp6rxeq","Rainbow Bridge - Original Mix","The Sound Of Love International","The Black Dog",2018-06-15,248286,1,spotify:user:seankmchenry,2022-06-16T14:22:19Z,"ambient,ambient techno,deep idm,drill and bass,dub techno,electro,electronica,intelligent dance music,microhouse,minimal techno,techno",0.687,0.541,9,-10.626,1,0.0464,0.533,0.891,0.105,0.191,127.983,4
5jgpZwDE4YESxFWIOLnkNM,"2Wa1cVflSmJyGlw78Jq8Ud","Xes Noiz - Original Mix","The Sound Of Love International","Nation Of Noiz",2018-06-15,332737,3,spotify:user:seankmchenry,2022-06-16T14:22:19Z,"",0.819,0.677,1,-8.529,1,0.124,0.00275,0.706,0.127,0.616,132.472,4
