Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1Pq47iFLC5U7j8xeNiNcuS,"08b2PA6eFyugsWAk41eQKZ","It's My Party","I'll Cry If I Want To","Lesley Gore",1963-06-01,140000,64,spotify:user:seankmchenry,2022-09-27T21:04:05Z,"adult standards,brill building pop,bubblegum pop,classic girl group",0.692,0.501,9,-11.708,1,0.0625,0.368,0,0.0393,0.961,128.388,4
6YyqULhTNU7AKaKJKChluQ,"3DmG65yHQsMms7WAvrZOdt","Principles Of Lust: Sadeness / Find Love / Sadeness (Reprise)","MCMXC a.D.","Enigma",1990,703133,61,spotify:user:seankmchenry,2022-09-27T21:06:02Z,"downtempo,new age",0.611,0.429,7,-15.362,1,0.0365,0.128,0.468,0.031,0.469,95.008,4
27XjGXeN95xnRmbxqW1Ogf,"4OxKSxPj79PxeX7hmiFOer","Call Me","Wolf","Bill Wolfer",1984-01-01,240066,5,spotify:user:seankmchenry,2022-09-27T21:07:26Z,"",0.753,0.691,6,-9.364,0,0.0541,0.153,0,0.322,0.775,103.808,4
4iS6ObZODsFviYS1Pwl9V9,"4wwebFlJIMJ3uKExUOk2dt","Red Night","Red Night","Blue Knights",1994,263612,2,spotify:user:seankmchenry,2022-09-27T21:07:38Z,"",0.654,0.439,7,-13.342,1,0.0332,0.87,0.716,0.0886,0.584,94.509,4
51ySFsXsblG60ljJjOLqOa,"0rWZGN2Zuv77euApjvZgkI","Jocelyn Square","Strange Kind Of Love","Love & Money",1988-06-17,242933,18,spotify:user:seankmchenry,2022-09-27T21:07:45Z,"scottish new wave,sophisti-pop",0.673,0.701,11,-12.746,0,0.0503,0.135,0.0000943,0.251,0.766,97.807,4
066RUhTXZgwo87hLLfFYoS,"4dYBbLeGUezDO9EdsqCan2","YUMEDONO","KENJI SHOCK","Kenji Omura",2003-08-06,298693,14,spotify:user:seankmchenry,2022-09-27T21:08:04Z,"japanese jazz,japanese new wave,techno kayo",0.638,0.696,1,-7.665,1,0.0447,0.0477,0.000491,0.0773,0.915,91.565,4
4b8zbUSAs0NxxBUAzzr1kS,"0fSzoVDpnYSWxnuiILlJLt","Sphere Of Existence","Sphere of Existence","Antoine Kogut",2018-09-24,260946,9,spotify:user:seankmchenry,2022-09-27T21:08:14Z,"",0.696,0.472,5,-12.453,1,0.0417,0.0684,0.632,0.156,0.523,100.001,4
4mSRyI7BNBDZfsgYGPtXw7,"0fSzoVDpnYSWxnuiILlJLt","Current Density","Sphere of Existence","Antoine Kogut",2018-09-24,247453,1,spotify:user:seankmchenry,2022-09-27T21:08:14Z,"",0.698,0.151,7,-17.268,1,0.0749,0.959,0.913,0.151,0.387,136.939,4
1QQJiaRGBxCvciXIe8Ki06,"2E236rsxSkaqZfJpv57gYF","Caucciu","Il grande esploratore","Tony Esposito",1984,256349,20,spotify:user:seankmchenry,2022-09-27T21:08:27Z,"italian disco,italian jazz fusion,neapolitan funk",0.766,0.368,0,-16.433,1,0.0359,0.068,0.587,0.064,0.749,101.489,4
2R3E4xKmy7lyieBKONkIMT,"0PFtn5NtBbbUNbU9EAmIWF","99","Hydra","TOTO",1979-10-01,316053,55,spotify:user:seankmchenry,2022-09-27T21:08:27Z,"album rock,classic rock,mellow gold,rock,soft rock,yacht rock",0.482,0.471,10,-13.873,0,0.0334,0.181,0.00167,0.112,0.342,88.557,4
5vFHb32rxC8sAsV5gOlZSP,"0WwSkZ7LtFUFjGjMZBMt6T","How Long","On Every Street (Remaster)","Dire Straits",1991-09-10,229400,31,spotify:user:seankmchenry,2022-09-27T21:09:23Z,"album rock,classic rock,mellow gold,rock,soft rock",0.505,0.584,2,-9.728,1,0.0251,0.362,0.519,0.128,0.605,90.075,4
419XgftMBAJ3iononldlAV,"2dogRElUKV20C2khRHqjRc","Spice Of Life - Remastered","Bodies And Souls (Remastered Edition)","The Manhattan Transfer",1983-09-01,222133,40,spotify:user:seankmchenry,2022-09-27T21:09:30Z,"a cappella,adult standards,lounge,vocal jazz",0.763,0.702,5,-9.51,1,0.046,0.143,0,0.198,0.806,109.975,4
2fkYTEUKvrELCDYBovOnw1,"2FEdyVgGMSclOsYJ4wAQUY","Summertime","1000 Summers","Public Library Commute",2021-03-25,180000,23,spotify:user:seankmchenry,2022-09-27T21:09:53Z,"bedroom soul,chill r&b,indie r&b",0.715,0.441,4,-8,1,0.034,0.437,0.0301,0.107,0.569,95.041,3
6BeEg9qR8jDuEpH3YtMJHd,"2FEdyVgGMSclOsYJ4wAQUY","25MPH","1000 Summers","Public Library Commute",2021-03-25,183666,45,spotify:user:seankmchenry,2022-09-27T21:09:53Z,"bedroom soul,chill r&b,indie r&b",0.571,0.707,0,-6.306,0,0.0274,0.0501,0.806,0.4,0.662,80.021,4
0ZUoiaTLtS1Emrs53pN3NS,"2Pn8cFHDvZqjr56UjvR62L","Funk on the Line","Cassette for You","BOY DUDE",2017-11-03,209995,10,spotify:user:seankmchenry,2022-09-27T21:10:32Z,"bedroom pop",0.866,0.537,2,-10.722,0,0.0606,0.287,0.685,0.387,0.728,121.361,4
1UugrF8Mq74QIaU9q36dAh,"2Pn8cFHDvZqjr56UjvR62L","Cosmic Lines","Cassette for You","BOY DUDE",2017-11-03,247827,26,spotify:user:seankmchenry,2022-09-27T21:10:32Z,"bedroom pop",0.641,0.383,5,-11.733,0,0.0612,0.494,0.371,0.223,0.527,166.411,4
3gO8aGVFCpPqJOPOMMAhs0,"0sbXj9EtUUji1KCtkhsdmz","Cruel","Cruel","Germans",2013-05-28,207315,25,spotify:user:seankmchenry,2022-09-27T21:10:49Z,"",0.608,0.761,0,-7.226,1,0.0327,0.144,0.0247,0.105,0.941,84.008,4
0xDdomWadyYS5vF1G0XtA4,"0sbXj9EtUUji1KCtkhsdmz","Wonderhow","Wonderhow","Germans",2017-05-08,188620,15,spotify:user:seankmchenry,2022-09-27T21:10:49Z,"",0.555,0.821,1,-7.239,0,0.0374,0.304,0.64,0.203,0.871,169.93,4
